trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
96,False,"{'a': 0.5, 'e': 0.8869949227792842}",20,15,7.4880954807954225,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.8846749491085283}",20,6,-34.20252295869312,"{0: 9, 1: 2, 2: 2, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.8823328586101216}",20,0,-112.27250542053952,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
99,False,"{'a': 0.5, 'e': 0.8799687098362042}",25,0,-117.42390723984813,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-133.9301330331935,"{0: 10, 1: 1, 2: 6, 3: 2, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.8751744744262013}",25,0,-143.17133700476037,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.8727445076457513}",20,0,-34.01520552003056,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.8702927222980654}",20,0,-143.3317784752424,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
104,False,"{'a': 0.5, 'e': 0.8678191796776499}",30,0,-231.27519527953692,"{0: 17, 1: 2, 2: 6, 3: 1, 4: 4}",0
105,False,"{'a': 0.5, 'e': 0.8653239416229412}",20,0,-61.264574470536594,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.862807070514761}",30,0,-56.88016512992683,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.8602686292747557}",20,0,-120.05533192075933,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.8577086813638242}",20,0,-89.5617715259424,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.8551272907805307}",20,8,-37.82362883240429,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
110,False,"{'a': 0.5, 'e': 0.8525245220595057}",20,0,-90.82116962555698,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.8499004402698315}",20,0,-65.68157719447176,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.8472551110134161}",20,0,-37.32127131276252,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.8445886004233532}",30,0,-126.00761677831936,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
114,False,"{'a': 0.5, 'e': 0.8419009751622687}",25,1,-148.33535707929144,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.8391923024206541}",30,0,-100.68752369608434,"{0: 20, 1: 5, 2: 2, 3: 2, 4: 1}",1
116,False,"{'a': 0.5, 'e': 0.8364626499151869}",20,0,-63.35859268338484,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.8337120858870376}",25,0,-102.87475474307405,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.8309406791001634}",25,0,-106.97539281055232,"{0: 14, 1: 2, 2: 6, 3: 3, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.8281484988395901}",20,0,-193.1199208971617,"{0: 7, 1: 1, 2: 8, 3: 2, 4: 2}",0
120,False,"{'a': 0.5, 'e': 0.8253356149096783}",25,12,-41.89937175537118,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.82250209763238}",25,0,-104.79151098347494,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.8196480178454795}",25,0,-136.57579806020902,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
123,False,"{'a': 0.5, 'e': 0.8167734469008229}",25,1,-72.87608746060926,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.8138784566625339}",25,0,-122.59211282363307,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
125,False,"{'a': 0.5, 'e': 0.8109631195052179}",25,0,-113.48497978827793,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.8080275083121519}",25,0,-41.55948048667005,"{0: 21, 1: 2, 2: 0, 3: 1, 4: 1}",0
127,False,"{'a': 0.5, 'e': 0.8050716964734628}",25,14,-14.92226418383811,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.8020957578842927}",20,13,-31.293245030366048,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.7990997669429512}",25,19,3.4714086976270924,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.7960837985490559}",20,0,-56.69381024757749,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.7930479281016595}",20,2,-9.738765377312575,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.7899922314973651}",25,0,-130.76737358989675,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.7869167851284287}",25,0,-112.42823819484457,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.7838216658808492}",20,0,-119.67936369328461,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
135,False,"{'a': 0.5, 'e': 0.7807069511324468}",25,8,-22.433005519019723,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.7775727187509279}",25,0,-50.52829802776872,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
137,False,"{'a': 0.5, 'e': 0.7744190470919388}",30,4,-122.15282340624148,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.7712460149971065}",25,0,-61.391524607696745,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.7680537017920686}",25,0,-93.43240195385512,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.7648421872844884}",30,17,-10.770227473844669,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.7616115517620617}",25,9,-40.74596426784788,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.7583618759905082}",25,0,-92.20589288499147,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
143,False,"{'a': 0.5, 'e': 0.7550932412115529}",30,19,-5.7492186355127775,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.751805729140895}",20,0,-80.3693453468618,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
145,False,"{'a': 0.5, 'e': 0.7484994219661651}",20,8,-26.300781626642674,"{0: 7, 1: 4, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.7451744023448704}",20,0,-98.04164129854773,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
147,False,"{'a': 0.5, 'e': 0.7418307534023283}",20,0,-88.69717783676963,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
148,False,"{'a': 0.5, 'e': 0.7384685587295879}",25,0,-74.27144984054037,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.7350879023813413}",25,0,-177.19523904035,"{0: 15, 1: 3, 2: 2, 3: 2, 4: 3}",0
150,False,"{'a': 0.5, 'e': 0.7316888688738209}",25,0,-36.93325377590824,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.7282715431826874}",35,0,-108.74430559248478,"{0: 27, 1: 1, 2: 4, 3: 1, 4: 2}",0
152,False,"{'a': 0.5, 'e': 0.7248360107409052}",25,0,-170.63044554855708,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",1
153,False,"{'a': 0.5, 'e': 0.7213823574366063}",25,0,-144.66205878500932,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
154,False,"{'a': 0.5, 'e': 0.7179106696109434}",35,0,-58.45880020601765,"{0: 26, 1: 1, 2: 8, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.7144210340559314}",20,0,-93.5389279392329,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
156,False,"{'a': 0.5, 'e': 0.7109135380122773}",25,0,-38.91985645979226,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.7073882691671998}",30,0,-120.41497780601047,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
158,False,"{'a': 0.5, 'e': 0.7038453156522362}",25,3,-29.47700221784435,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.7002847660410397}",20,0,-48.24189598975345,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
160,False,"{'a': 0.5, 'e': 0.6967067093471655}",25,0,-78.81663602530091,"{0: 18, 1: 2, 2: 1, 3: 4, 4: 0}",0
161,False,"{'a': 0.5, 'e': 0.6931112350218442}",20,10,-24.47378847578342,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.6894984329517471}",20,12,-2.4355643243775624,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.6858683934567373}",20,0,-101.79818536397167,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
164,False,"{'a': 0.5, 'e': 0.6822212072876136}",25,2,-142.86940325780415,"{0: 12, 1: 2, 2: 7, 3: 0, 4: 2}",1
165,False,"{'a': 0.5, 'e': 0.6785569656238399}",20,0,-41.977684825878214,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.6748757600712672}",20,6,-26.235225336842312,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.5, 'e': 0.6711776826598423}",20,15,-12.006804931195317,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.6674628258413082}",30,0,-163.21643589191234,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.6637312824868916}",30,5,-67.62230153004816,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.6599831458849822}",25,0,-66.25996968174941,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
171,False,"{'a': 0.5, 'e': 0.6562185097387998}",25,0,-193.1882908516585,"{0: 15, 1: 3, 2: 2, 3: 1, 4: 4}",0
172,False,"{'a': 0.5, 'e': 0.6524374681640519}",20,0,-14.618774973238443,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
173,False,"{'a': 0.5, 'e': 0.648640115686581}",20,0,-58.208714128863136,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.6448265472400012}",25,0,10.067660772626724,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
175,False,"{'a': 0.5, 'e': 0.6409968581633252}",20,11,-12.757650604647957,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.6371511441985802}",30,0,-15.158688558515156,"{0: 25, 1: 2, 2: 3, 3: 0, 4: 0}",0
177,False,"{'a': 0.5, 'e': 0.6332895014884152}",30,0,-152.3912544321185,"{0: 22, 1: 0, 2: 4, 3: 1, 4: 3}",0
178,False,"{'a': 0.5, 'e': 0.6294120265736969}",25,4,-100.80227628554786,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 2}",1
179,False,"{'a': 0.5, 'e': 0.6255188163910961}",25,0,-13.143456540392135,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
180,False,"{'a': 0.5, 'e': 0.6216099682706645}",20,11,-13.799625365668087,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.6176855799334017}",20,9,5.560681340780015,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.6137457494888116}",20,11,10.75658361110746,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
